,time,text,url
0,Fri Oct 08 01:02:00 +0000 2021,"Met With Officials From EU, Canada, US, UK In Doha, Say Taliban: Report https://t.co/UJfYcaXbBG https://t.co/zdnjANTGEn",https://ndtv.com/world-news/met-with-officials-from-eu-canada-us-uk-in-doha-say-taliban-report-2567855
1,Fri Oct 08 00:54:04 +0000 2021,"#LakhimpurKheriViolence | Minister's Son Summoned, 2 Arrested Over Farmers Killings In UP Violence… https://t.co/8aVCxELVVh",https://twitter.com/i/web/status/1446277683420172343
2,Fri Oct 08 00:53:10 +0000 2021,RT @ndtvfeed: LIVE: No UK Quarantine For Fully Vaccinated Indians From October 11 https://t.co/VE289DfjBj https://t.co/aqOY8ve4Nm,https://www.ndtv.com/india-news/coronavirus-india-live-updates-no-uk-quarantine-for-fully-vaccinated-indians-from-october-11-2567868
3,Fri Oct 08 00:52:54 +0000 2021,RT @ndtvfeed: BJP Announces Ex-Armyman As Candidate For Himachal Lok Sabha Bypoll https://t.co/eMHRj8uUIZ https://t.co/XjtueJ496C,https://www.ndtv.com/india-news/bjp-announces-ex-armyman-khushal-singh-as-candidate-for-himachal-pradeshs-mandi-lok-sabha-bypoll-2567838
4,Fri Oct 08 00:52:45 +0000 2021,RT @ndtvfeed: Congress Announces Candidate For Bengal Assembly Seat Bypoll https://t.co/bKZcaZvwGy https://t.co/U8hWqbjfCi,https://www.ndtv.com/india-news/congress-announces-candidate-for-santipur-assembly-bypoll-in-west-bengal-2567889
5,Fri Oct 08 00:52:40 +0000 2021,RT @ndtvfeed: US Troops Secretly Training Taiwanese Since Last Year: Report https://t.co/8Aw6ztRf5U https://t.co/i7itXq2Ij8,https://www.ndtv.com/world-news/us-troops-secretly-training-taiwanese-since-last-year-report-2567870
6,Fri Oct 08 00:52:31 +0000 2021,RT @ndtvfeed: Two Arrested For Running Ponzi Scheme In Delhi: Police https://t.co/GTXKY9D1HX https://t.co/kTO80chEHv,https://www.ndtv.com/delhi-news/two-arrested-for-running-ponzi-scheme-in-delhi-police-2567861
7,Fri Oct 08 00:52:26 +0000 2021,RT @ndtvfeed: Construction Firm Fined 5 Lakh For Violating Dust Control Norms In Delhi https://t.co/1MVqDbpOW9 https://t.co/QUKiPKLm3i,https://www.ndtv.com/delhi-news/construction-firm-larsen-toubro-l-t-fined-rs-5-lakh-for-violating-dust-control-norms-in-delhi-2567860
8,Fri Oct 08 00:52:15 +0000 2021,RT @ndtvfeed: US Nuclear Submarine Damaged In Underwater Collison In Asia https://t.co/RkoALh3nqf https://t.co/bwZPF6l8X1,https://www.ndtv.com/world-news/us-nuclear-submarine-damaged-in-underwater-collison-in-asia-2567857
9,Fri Oct 08 00:52:05 +0000 2021,RT @ndtvfeed: Elon Musk Says Tesla Moving Headquarters From Silicon Valley To Texas https://t.co/BSzHZNlm9J https://t.co/J7XPzVZHnq,https://www.ndtv.com/world-news/elon-musk-says-tesla-moving-headquarters-from-silicon-valley-to-texas-2567851
