,time,text,url,title,content
0,Fri Oct 08 01:02:00 +0000 2021,"Met With Officials From EU, Canada, US, UK In Doha, Say Taliban: Report https://t.co/UJfYcaXbBG https://t.co/zdnjANTGEn",https://ndtv.com/world-news/met-with-officials-from-eu-canada-us-uk-in-doha-say-taliban-report-2567855,"Met With Officials From EU, Canada, US, UK In Doha, Say Taliban: Report","Taliban spokesperson Suhail Shaheen has said that he had a meeting with ambassadors and officials from the European Union, Canada, the United Kingdom, and the United States. ""Today I had meeting with ambassadors and representatives of various countries including EU, Norway, Sweden, Netherlands, Italy, Japan, South Korea, Canada, UK and USA here in Doha. Other members of IEA (Islamic Emirate of Afghanistan) delegation consisted of Mawlavi Matiul Haq, President of the Afghan,"" Shaheen tweeted.   According to Sputnik, the spokesperson noted that his country urgently needs humanitarian aid before winter. In mid-August the Taliban entered Kabul, and announced the next day that the war was over. The last province to resist the group, Panjshir, surrendered on September 6. As international troops withdrew from the country and foreign evacuations came to a close, the Taliban announced the composition of their interim cabinet, headed by Mohammad Hasan Akhund, a former foreign minister during the previous Taliban rule, who has been under UN sanctions since 2001, Sputnik reported. (Except for the headline, this story has not been edited by NDTV staff and is published from a syndicated feed.)"
1,Fri Oct 08 00:53:10 +0000 2021,RT @ndtvfeed: LIVE: No UK Quarantine For Fully Vaccinated Indians From October 11 https://t.co/VE289DfjBj https://t.co/aqOY8ve4Nm,https://www.ndtv.com/india-news/coronavirus-india-live-updates-no-uk-quarantine-for-fully-vaccinated-indians-from-october-11-2567868,COVID-19 Highlights: No UK Quarantine For Fully Vaccinated Indians From October 11,"Indians who are fully vaccinated with Covishield or any other UK-approved vaccine will not be quarantined when they arrive in Britain from October 11, the High Commissioner to India said on Thursday, ending a row over what was perceived as unfair imposition of COVId-19 quarantine rules. ""No quarantine for India travellers to United Kingdom fully vaccinated with Covishield or another UK-approved vaccine from 11 October. Thanks to Indian government for close cooperation over last month,"" British High Commissioner to India Alex Ellis tweeted on Thursday. On October 1, in response to the UK quarantine rules for Indians and citizens of several nations, including those vaccinated with UK-approved Covishield, India had imposed mandatory 10-day quarantine for British citizens irrespective of vaccination status. Meanwhile, with 22,431 people testing positive for coronavirus infection in a day, India's total tally of COVID-19 cases rose to 3,38,94,312, while the active cases declined to 2,44,198, the lowest in 204 days, according to the Union Health Ministry data updated on Thursday. The death count climbed to 4,49,856 with 318 fresh fatalities, according to the data."
2,Fri Oct 08 00:52:54 +0000 2021,RT @ndtvfeed: BJP Announces Ex-Armyman As Candidate For Himachal Lok Sabha Bypoll https://t.co/eMHRj8uUIZ https://t.co/XjtueJ496C,https://www.ndtv.com/india-news/bjp-announces-ex-armyman-khushal-singh-as-candidate-for-himachal-pradeshs-mandi-lok-sabha-bypoll-2567838,BJP Announces Ex-Armyman As Candidate For Himachal Lok Sabha Bypoll,"The BJP has fielded Kargil War hero Brigadier (retd) Khushal Singh as its candidate for the Mandi Lok Sabha seat against the Congress' Pratibha Singh for the upcoming bypolls. Khushal Singh filed his nomination papers on Thursday afternoon in the presence of Himachal Pradesh Chief Minister Jai Ram Thakur and state BJP chief Suresh Kashyap. The Mandi Lok Sabha seat fell vacant after BJP MP Ram Swaroop Sharma's death in March. Pratibha Singh, who is the wife of late chief minister Virbhadra Singh, will file her nomination papers on Friday. After filing his nomination papers, Khushal Singh told PTI that 1.5-2 lakh of the total 12,99,563 electors in Mandi are defence personnel, ex-servicemen and their family members and he hoped that most of them will vote for him on October 30. On his opponent Pratibha Singh, he said she will not get any sympathy votes as people will take into account her performance during her two previous tenures as the MP from Mandi. Born in 1954, Khushal Singh hails from Mandi's Nagwain village. He graduated from Himachal Pradesh University and holds a PG Diploma in Computers and Human Rights. Before joining the Indian Army in 1975, he worked as a village revenue officer for three years. During his 34-year military career, he participated in the Indian peacekeeping mission in Sri Lanka against the Liberation Tigers of Tamil Eelam (LTTE). While on a United Nations peacekeeping mission in Sierra Leone, he successfully led Operation Khukhri and liberated 234 soldiers, including 225 Indians, who were being held hostage by rebels.   During the Kargil war, he was the commanding officer of the 18 Grenadiers, which captured Tiger Hill and Tololing, which are of strategic importance to India, from Pakistani infiltrators. He was awarded the Yudh Seva Medal and his unit received a record 52 gallantry awards. Post-retirement, he has been involved in social work and politics."
3,Fri Oct 08 00:52:45 +0000 2021,RT @ndtvfeed: Congress Announces Candidate For Bengal Assembly Seat Bypoll https://t.co/bKZcaZvwGy https://t.co/U8hWqbjfCi,https://www.ndtv.com/india-news/congress-announces-candidate-for-santipur-assembly-bypoll-in-west-bengal-2567889,Congress Announces Candidate For Bengal Assembly Seat Bypoll,"Ahead of Assembly By-Elections 2021 in West Bengal, Congress on Thursday announced Raju Pal as a candidate from the Santipur constituency, said All India Congress Committee. The by-polls in four Assembly constituencies are to be held on October 30 in West Bengal. ""Congress President Sonia Gandhi has approved the candidature of Raju Pal as Congress candidate for the ensuing by-election to the Legislative Assembly of West Bengal from 86 - Santipur Assembly Constituency,"" said AICC press statement. The Election Commission of India, earlier on September 28, announced by-polls for three parliamentary and 30 assembly seats across 15 states and Union territories (UTs) in the country. The ECI announced by-elections on assembly constituencies including --Badvel (SC) in Andhra Pradesh; Gossaigaon, Bhabanipur, Tamulpur and Mariani, Thowra in Assam; Kusheshwar Asthan (SC) and Tarapur in Bihar; Ellenabad in Haryana; Fatehpur, Arki, and Jubbal- Kotkhai in Himachal Pradesh; Sindgi and Hangal in Karnataka; Prithvipur, Raigaon (SC) and Jobat (ST) in Madhya Pradesh; Deglur (SC) in Maharashtra; Mawryngkneng (ST), Mawphlang (ST), and Rajabala in Meghalaya; Tuirial (ST) in Mizoram; Shamtorr-Chessore (ST) in Nagaland; Vallabhnagar and Dhariawad (ST) in Rajasthan; Huzurabad in Telangana; and Dinhata, Santipur, Khardaha and Gosaba(SC) in West Bengal.   The last date for filing nominations is October 8. The ECI has scheduled the examination of nominations on October 11, while the last date for withdrawal of nominations is set as October 13."
4,Fri Oct 08 00:52:40 +0000 2021,RT @ndtvfeed: US Troops Secretly Training Taiwanese Since Last Year: Report https://t.co/8Aw6ztRf5U https://t.co/i7itXq2Ij8,https://www.ndtv.com/world-news/us-troops-secretly-training-taiwanese-since-last-year-report-2567870,US Troops Secretly Training Taiwanese Since Last Year: Report,"US special operations forces and marines have been secretly training Taiwanese troops for more than one year, risking the ire of China, the Wall Street Journal reported Thursday. The Journal said about two-dozen US service members have trained Taiwanese ground and maritime forces ""for at least a year,"" amid China's rising verbal threats against the island ally of the United States. The report cited unnamed officials for the report. Taiwan's Defense Ministry declined to comment on the report. The Pentagon did not confirm or deny it. Spokesman John Supple said the US support for Taiwan's military is gauged on its defense needs. ""Our support for and defense relationship with Taiwan remains aligned against the current threat posed by the People's Republic of China,"" Supple said in a statement. ""We urge Beijing to honor its commitment to the peaceful resolution of cross-Strait differences."" The report appeared to confirm Taiwan media articles last November -- which cited Taiwan's Naval Command -- that US troops had arrived there to train Taiwan marines and special forces in small-boat and amphibious operations. Those reports were subsequently denied by US and Taiwanese officials, who emphasized the two sides are involved in bilateral military exchanges and cooperation. The United States supplies weapons to Taiwan, including missiles for defense and fighter jets, amid Beijing's threat to forcibly retake control of the island and reintegrate it with China. The US also maintains an ambiguous commitment to defend Taiwan, which Beijing considers a renegade province. A video released last year and featured in Taiwan media showed US troops taking part in an exercise on the island dubbed ""Balance Tamper."" Chinese forces have stepped up their activities toward Taiwan in the past year, conducting sea assault exercises and flying large sorties of bombers and fighters close to Taiwan airspace. On Monday, Taiwan scrambled its own air force after a record 56 Chinese warplanes crossed into its air defense zone. US State Department Spokesman Ned Price called the Chinese activity ""destabilizing"" and ""provocative.""   ""We strongly urge Beijing to cease its military, diplomatic and economic pressure and coercion against Taiwan,"" he said, calling US commitment to the island ""rock-solid"". (This story has not been edited by NDTV staff and is auto-generated from a syndicated feed.)"
5,Fri Oct 08 00:52:31 +0000 2021,RT @ndtvfeed: Two Arrested For Running Ponzi Scheme In Delhi: Police https://t.co/GTXKY9D1HX https://t.co/kTO80chEHv,https://www.ndtv.com/delhi-news/two-arrested-for-running-ponzi-scheme-in-delhi-police-2567861,Two Arrested For Running Ponzi Scheme In Delhi: Police,"Delhi Police on Thursday arrested two persons for allegedly running a Ponzi scheme and duping people of crores of rupees. The accused have been identified as Harshul Kaushik and Gurmeet Sahni. They both were running a Ponzi scheme by the name of ""E-Rickshaw on Rent"". More than 50 complaints involving 1100 victims/investors have been received by the police against them. They have allegedly cheated people of a total of ₹ 15 crores. The accused were running a company named SOS Vehicles Service Pvt Ltd. They encouraged and induced people to invest in their firm and earn healthy returns on the investments made. They also got victims visiting a manufacturing plant of E-Rickshaws. After initially paying the returns to their investors, they stopped paying them money, thus looting them of their hard-earned money.   A case was registered against the accused after which the police managed to arrest them after two months long surveillance. Further investigation into the matter is ongoing."
6,Fri Oct 08 00:52:26 +0000 2021,RT @ndtvfeed: Construction Firm Fined 5 Lakh For Violating Dust Control Norms In Delhi https://t.co/1MVqDbpOW9 https://t.co/QUKiPKLm3i,https://www.ndtv.com/delhi-news/construction-firm-larsen-toubro-l-t-fined-rs-5-lakh-for-violating-dust-control-norms-in-delhi-2567860,Construction Firm Fined ₹ 5 Lakh For Violating Dust Control Norms In Delhi,"As a part of its anti-dust campaign, the Delhi government has imposed a fine of ₹ 5 lakhs on construction company Larsen & Toubro (L&T) for not adhering to dust control guidelines during the construction of an underpass near Pragati Maidan. Speaking to ANI on Thursday, Delhi Environment Minister Gopal Rai said, ""During an inspection, we found lots of dust at a construction site of L&T. The tarpaulin net had only been put up for show either in parts or was completely torn apart. The anti-smog gun did not even have water in it."" ""A notice has been issued to the construction company, asking it to comply with the 14-point dust control norms within two days. If it fails to do so in two days, a fine of ₹ 5 lakh per day will be imposed on the company,"" he added. Mr Rai further said that all agencies, government or private, have to mandatorily adhere to all anti-dust norms issued by the government. ""We will not tolerate laid back attitude. We have issued 14 simple norms, given constant reminders and public notices. It is not a herculean task for the agencies to implement them,"" he stated. The Environment Minister also launched a ""Dust Pollution Control Self-Assessment Portal"" to further bolster the anti-dust campaign. ""In the fight against pollution in Delhi, we are starting the ""anti-dust campaign'' from today till October 29. Last year also, we did this campaign but there are so many constructions sites inside Delhi that it is difficult to monitor them all in the winter season manually,"" he stated. ""This year, we have appointed teams of the Delhi Pollution Control Committee (DPCC) and environment marshals who have stepped into fields. But today, the online portal that we have launched as a part of the anti-dust campaign will prove to be a historic step,"" he added.   Mr Rai informed that through this portal, all types of construction works going on inside Delhi will be closely monitored and managed. ""Training will be started from next week to connect people to the portal so that they can be taught how to work with the same,"" he added."
7,Fri Oct 08 00:52:15 +0000 2021,RT @ndtvfeed: US Nuclear Submarine Damaged In Underwater Collison In Asia https://t.co/RkoALh3nqf https://t.co/bwZPF6l8X1,https://www.ndtv.com/world-news/us-nuclear-submarine-damaged-in-underwater-collison-in-asia-2567857,US Nuclear Submarine Damaged In Underwater Collison In Asia,"A US nuclear submarine was damaged after hitting an unidentified object while operating underwater in Asia, the US Navy said Thursday. The USS Connecticut, a nuclear-powered fast-attack submarine, ""struck an object while submerged on the afternoon of Oct. 2, while operating in international waters in the Indo-Pacific region,"" the navy said in a statement. It said there were no life-threatening injuries, but USNI News, a site specializing in navy news, reported that about a dozen sailors were hurt ""with moderate to minor injuries."" USNI News also said the submarine was operating in the South China Sea, where the US Navy has sought to challenge China's disputed territorial claims on small islands, reefs and outcrops. The navy said the extent of the damage is being examined and the incident investigated. ""The submarine remains in a safe and stable condition. USS Connecticut's nuclear propulsion plant and spaces were not affected and remain fully operational,"" it said.   USNI News said the vessel is now headed to the US base at Guam. (Except for the headline, this story has not been edited by NDTV staff and is published from a syndicated feed.)"
8,Fri Oct 08 00:52:05 +0000 2021,RT @ndtvfeed: Elon Musk Says Tesla Moving Headquarters From Silicon Valley To Texas https://t.co/BSzHZNlm9J https://t.co/J7XPzVZHnq,https://www.ndtv.com/world-news/elon-musk-says-tesla-moving-headquarters-from-silicon-valley-to-texas-2567851,Elon Musk Says Tesla Moving Headquarters From Silicon Valley To Texas,"Tesla chief Elon Musk told investors on Thursday that the leading electric vehicle maker is moving its headquarters from Silicon Valley to Texas, where it is building a plant. ""I'm excited to announce that we're moving our headquarters to Austin, Texas,"" Musk said at an annual shareholders meeting. ""Just to be clear, though, we will be continuing to expand our activities in California."" Musk said Tesla sales are growing strongly, and the company is ramping up deliveries despite shortages of computer chips and other components. Tesla aims to increase production at its plant in Fremont, California, by some 50 percent, Musk said. But that plant is hitting its limits on how much more it can handle, he said. ""When we first went in there it was it like a kid in his parents' shoes; tiny us and this giant factory,"" Musk said of its inaugural plant in Silicon Valley. ""Now, its like a spam can. We are hitting the sides of the bowl."" He noted that the cost of living in Silicon Valley is high for workers, with home prices putting them out of reach for workers, who often wind up with long commutes. Musk has clashed with regulators in California, and is among high-profile tech figures who personally left the state for places with lower income taxes and less regulation. Winning with diversity A stockholder-submitted proposal to have Tesla disclose more about diversity and inclusion efforts at the company won approval, despite opposition from the board of directors, according to preliminary results. It calls for comprehensive breakdowns of Tesla's workforce by race and gender, along with insights into how well efforts to improve diversity are doing, to be routinely disclosed to investors. ""The business case for diversity is clear,"" said Calvert Research and Management vice president Kimberly Stokes, who spoke on behalf of the proposal. ""As shareholders we are concerned that Tesla's lack of focus on equity, diversity and inclusion could hinder the company's ability to innovate in the future."" Calvert's winning proposal was one of four put on the agenda by investors urging Tesla to better protect worker rights and well-being. A California jury this week ordered Tesla to pay a Black former employee $137 million in damages for turning a blind eye to racism the man said he encountered at the firm's Silicon Valley auto plant. ""They awarded an amount that could be a wake-up call for American corporations,"" said civil rights attorney Larry Organ, who represented the former Tesla worker. ""Don't engage in racist conduct and don't allow racist conduct to continue."" Owen Diaz was hired through a staffing agency as an elevator operator at the electric vehicle-maker's Fremont factory between June 2015 and July 2016, where he was subjected to racist abuse and a hostile work environment, according to the court filing. Instead of a modern workplace, the plaintiff ""encountered a scene straight from the Jim Crow era,"" said the suit. The jury at the federal court in San Francisco on Monday awarded Diaz $130 million in punitive damages and $6.9 million for emotional distress, Organ confirmed. In a post, human resources vice president Valerie Capers Workman downplayed the allegations of racist abuse in the lawsuit but acknowledged that at the time Diaz worked there, Tesla ""was not perfect.""   Workman stressed that Tesla had made changes since Diaz worked at the company, adding a diversity team and an employee relations team dedicated to investigating employee complaints. (Except for the headline, this story has not been edited by NDTV staff and is published from a syndicated feed.)"
9,Fri Oct 08 00:51:57 +0000 2021,"RT @ndtvfeed: Cash Airlifts Planned To Bypass Taliban, Help Afghans: Report https://t.co/YKqSP84fJE https://t.co/8K1zOr0B5N",https://www.ndtv.com/world-news/cash-airlifts-planned-to-bypass-taliban-help-afghans-report-2567849,"Cash Airlifts Planned To Bypass Taliban, Help Afghans: Report","As desperate Afghans resort to selling their belongings to buy food, international officials are preparing to fly in cash for the needy while avoiding financing the Taliban government, according to people familiar with the confidential plans. Planning for the cash airlifts is going ahead against the background of a rapidly collapsing economy where money is short, although diplomats are still debating whether Western powers can demand that the Taliban make concessions in return, according to internal policy documents seen by Reuters. The emergency funding, aimed at averting a humanitarian crisis in the face of drought and political upheaval, could see U.S. dollar bills flown into Kabul for distribution via banks in payments of less than $200 directly to the poor - with the Taliban's blessing but without their involvement. As well as flying in cash to stem the immediate crisis, donor countries want to set up a ""humanitarian-plus"" trust fund that would pay salaries and keep schools and hospitals open, two senior officials said. Many Afghans have started selling their possessions to pay for ever scarcer food. The departure of U.S.-led forces and many international donors robbed the country of grants that financed 75% of public spending, according to the World Bank. The West's unorthodox strategy reflects the dilemma it faces. Still eager to help Afghanistan after two decades of war, and to prevent mass migration, it is also loathe to give money to the Taliban, who seized power in August and have yet to show significant change from the harsh way they ruled the country between 1996-2001. CASH DROPS The United Nations has warned that 14 million Afghans face hunger. Mary-Ellen McGroarty, U.N. World Food Programme Afghanistan director, said the economy could collapse in the face of the cash crisis. ""Many parents are foregoing food so that their children can eat,"" she has said. In recent days, Western diplomats and officials have stepped up efforts to establish a cash lifeline. The United Nations World Food Programme has distributed about 10 million Afghanis ($110,000) in cash via a local bank and intends to disburse more soon, said one person with knowledge of the situation. The cash runs are a trial for larger air deliveries of dollars from Pakistan, the person said. A senior diplomat said two approaches are under consideration that would inject cash into the Afghan economy. Both are in the planning stages. Under the first plan, the World Food Programme would fly in cash and distribute it directly to people to buy food, expanding on something the agency already has been doing on a smaller scale. The second approach would see cash flown in to be held by banks on behalf of the United Nations. That would be used to pay salaries to the staff of U.N. agencies and non-governmental organizations, the diplomat said. A third person said U.N. officials had talked with Afghan banks about opening up cash distribution channels. ""If the country collapses, we will all pay the consequences,"" said a senior European Union official. ""No one wants to rush into a recognition of the Taliban, but we need to deal with them. The question is not if ... but how."" A spokesperson for the World Food Programme said it had helped almost 4 million people in September, nearly triple the August number, chiefly with food, and some cash assistance had been given out in Kabul. The spokesperson said the cash shortage was also affecting the millers and truckers it worked with. He said that the agency was not flying cash into Afghanistan. NINE-BILLION-DOLLAR LEVERAGE Separately, the European Union, Britain and the United States have discussed setting up an international trust fund to bypass the Afghan government and help finance local services, according to two officials with knowledge of the matter. The Taliban did not immediately respond to requests for comment on the cash airlift plans. A U.S. Treasury spokesperson said it would allow humanitarian assistance through independent international and non-governmental organisations while ""denying assets"" to the Taliban and sanctioning its leaders. The Kabul government has little to fall back on. The central bank, with assets of $9 billion frozen offshore, has burnt through much of its reserves at home. Shah Mehrabi, an official who helped oversee the bank before the Taliban took over and is still in his post, recently appealed for a release of the overseas reserves. ""If reserves remain frozen, Afghan importers will not be able to pay for their shipments, banks will start to collapse, food will be become scarce,"" he said. But there is also a debate about whether strings should be attached to cash releases. In a paper written last month and seen by Reuters, French and German officials outline their aim of using money as a ""lever"" to pressure the Taliban. ""Countries could condition recognition of the political ... legitimacy of the Taliban to the commitments they would be ready to take,"" officials said in the two-page report. ""Economic and trade levers are among the strongest we have,"" the note said, raising the prospect of releasing the Afghan reserves held abroad. In a separate diplomatic note, French and German officials outline five demands that could be made of the Taliban.   Those include allowing Afghans who want to leave the country to do so, ""breaking ties with ... terrorist organisations"", allowing access to humanitarian aid, respect for human rights and establishing an ""inclusive government"". (This story has not been edited by NDTV staff and is auto-generated from a syndicated feed.)"
