,time,text,url,retweet_count,favorite_count,title,content
0,Mon Oct 11 07:47:24 +0000 2021,"Army Officer, 4 Others Killed In Encounter In Jammu And Kashmir's Poonch https://t.co/MkeS7t1HX2 https://t.co/XDehtpX7Vk",https://www.ndtv.com/india-news/army-officer-4-personnel-killed-in-encounter-in-jammu-and-kashmirs-poonch-2571401#pfrom=home-ndtv_topscroll,9,63,"Army Officer, 4 Personnel Killed In Encounter In Jammu And Kashmir","an army officer and four other personnel were killed in action during an encounter between security forces and terrorists in jammu and kashmir's poonch district on monday, officials said. an anti-insurgency operation was launched in a village close to dera ki gali in surankote in the early hours following intelligence inputs about the presence of heavily-armed terrorists there, they said. the hiding terrorists fired on the search parties resulting in fierce gunfight and critical injuries to a junior commissioned officer or jco and four other soldiers. they died from their injuries. the encounter with the terrorists was going on and further details are awaited, a defence spokesperson said. officials said there were reports about the presence of a group of heavily-armed terrorists in the chamrer forest, after they managed to sneak from across the line of control (loc).   reinforcements have been rushed to the area to plug all escape routes of the terrorists, they said. (with inputs from pti)"
1,Mon Oct 11 07:38:49 +0000 2021,"#AryanKhan Case: No Bail For Him Today, Next Hearing On Wednesday 

Read more: https://t.co/8LXCbMVSmT https://t.co/RECp2S2z0V",https://ndtv.com/india-news/mumbai-drug-bust-case-aryan-khan-case-no-bail-for-him-today-next-hearing-on-wednesday-2571328,5,44,"Aryan Khan Case: No Bail For Him Today, Next Hearing On Wednesday","aryan khan did not get bail today for the third time since his arrest a week ago in the drugs-on-cruise case. his bail request will be heard on wednesday after the narcotics control bureau (ncb) gives its statement to the court. aryan khan, the 23-year-old son of actor shah rukh khan, has been in a mumbai jail since friday. he and his friend arbazz merchant were was among nine arrested after anti-drugs officials raided a cruise rave party in disguise. the anti-drugs agency had asked the court to extend his custody till friday for more time to file its reply. the court ordered the ncb to do so by wednesday morning instead, posting aryan khan's bail plea hearing to wednesday instead. arguing aryan khan's case, lawyer amit desai had requested that his request for bail be heard today. no drugs were found on him, the lawyer said. ""the offence involves only a one-year sentence. for this child, seven days is not suitable,"" mr desai had said. but the ncb insisted it was not ready with its statement today. aryan khan's last request for bail was turned down by a magistrate who agreed with the anti-drugs agency that his court did not have the jurisdiction to decide.   so far, the ncb has argued that aryan khan's release can harm its investigations as he could tamper with evidence and try to influence witnesses. the agency has claimed that aryan khan needs to be questioned along with others arrested in the case. aryan khan's lawyer satish maneshinde stressed in court that no drugs or any material to suggest a conspiracy had been found on him and he could not be clubbed with the other accused."
2,Mon Oct 11 07:31:00 +0000 2021,"RT @ndtvfeed: Ex-National Conference Leaders Devender Rana, Surjit Slathia Join BJP https://t.co/77lNrFRGJF https://t.co/17J9NLKWm3",https://www.ndtv.com/india-news/after-resigning-from-national-conference-devender-rana-surjit-singh-slathia-join-bjp-2571354,2,0,"Ex-National Conference Leaders Devender Rana, Surjit Slathia Join BJP","a day after resigning from the national conference, devender rana, the former head of its jammu division, along with another party leader surjit singh slathia joined the bjp on monday. mr rana and mr slathia joined the bjp at its headquarters in new delhi in the presence of union ministers dharmendra pradhan, hardeep singh puri and jitendra singh. mr rana, who is a former mla and the younger brother of union minister jitendra singh, has also served as a political advisor to former jammu and kashmir chief minister and national conference (nc) leader omar abdullah. bjp general secretary in-charge for jammu and kashmir tarun chugh and its jammu and kashmir unit chief ravinder raina welcomed them in the party. mr rana has been advocating for the jammu declaration - a joint declaration of several political, social and business organisations, primarily demanding restoration of statehood for the jammu region and not for the whole jammu and kashmir.   in 2019, the centre had revoked the erstwhile state of jammu and kashmir's special status and bifurcated it into union territories of jammu and kashmir and ladakh. (except for the headline, this story has not been edited by ndtv staff and is published from a syndicated feed.)"
3,Mon Oct 11 07:30:21 +0000 2021,"RT @ndtvfeed: US Has Lost AI Battle To China, Pentagon's Ex-Software Chief Says: Report https://t.co/qTWHMIwCwg https://t.co/oQDYEzhyBc",https://www.ndtv.com/world-news/us-has-lost-artificial-intelligence-battle-to-china-pentagons-ex-software-chief-nicolas-chaillan-says-report-2571370,5,0,"US Has Lost AI Battle To China, Pentagon's Ex-Software Chief Says: Report","china has won the artificial intelligence battle with the united states and is heading towards global dominance because of its technological advances, the pentagon's former software chief told the financial times. china, the world's second largest economy, is likely to dominate many of the key emerging technologies, particularly artificial intelligence, synthetic biology and genetics within a decade or so, according to western intelligence assessments. nicolas chaillan, the pentagon's first chief software officer who resigned in protest against the slow pace of technological transformation in the u.s. military, said the failure to respond was putting the united states at risk. ""we have no competing fighting chance against china in 15 to 20 years. right now, it's already a done deal; it is already over in my opinion,"" he told the newspaper. ""whether it takes a war or not is kind of anecdotal."" china was set to dominate the future of the world, controlling everything from media narratives to geopolitics, he said. chaillan blamed sluggish innovation, the reluctance of u.s. companies such as google to work with the state on ai and extensive ethical debates over the technology. google was not immediately available for comment outside business hours. chinese companies, chaillan said, were obliged to work with their government and were making ""massive investment"" in ai without regard to ethics. he said u.s. cyber defences in some government departments were at ""kindergarten level"". chaillan announced his resignation at the beginning of september, saying military officials were repeatedly put in charge of cyber initiatives for which they lacked experience.   a spokesperson for the department of the air force said frank kendall, secretary of the u.s. air force, had discussed with chaillan his recommendations for the department's future software development following his resignation and thanked him for his contributions, the ft said. (this story has not been edited by ndtv staff and is auto-generated from a syndicated feed.)"
4,Mon Oct 11 07:20:48 +0000 2021,RT @ndtvfeed: A Look At Inspiring Messages On International Day Of The Girl Child https://t.co/6TxhZzFgyc https://t.co/eDNm3O7F6z,https://www.ndtv.com/india-news/on-international-day-of-the-girl-child-2021-messages-pour-in-from-leaders-2571278,3,0,International Day Of The Girl Child 2021: Leaders Post Inspirational Messages,"various world leaders and un agencies posted wishes and messages on social media to mark the international day of the girl child 2021. this year, the theme for the day is 'digital generation. our generation'. the official twitter handle of the un women posted a quote by american astronaut and physicist, sally ride: ""young girls need to see role models in whatever careers they may choose, just so they can picture themselves doing those jobs someday."" vice president m venkaiah naidu wrote, â€œthis year's international day of the girl child is themed on bridging the gender digital divide in our society. amid the ongoing covid pandemic, let's make every effort to ensure girls get equal access to digital devices, tech-related skills and jobs, and equal chance to grow.â€ rajasthan chief minister ashok gehlot tweeted about the need to provide the best environment for the development of girls and ensure equal opportunities. in his message, odisha chief minister naveen patnaik asked people to â€œappreciate the courage and resilience of our girls who have been swimming against the tide to materialize their dreamsâ€. on its official twitter handle, unicef posted, â€œevery single girl has the right to chase their dreams and develop every skill available to succeed anywhere.â€ rekha sharma, chairperson of the national commission for women india, urged people to â€œempower the girl, change the worldâ€. the congress party wrote, â€œlet us pledge to work together to empower our daughters and make the world more inclusive and egalitarian for them.â€ here are a few other tweets: according to the united nations, the international day of the girl child focuses attention on the need to address the challenges girls face and to promote their empowerment. it also aims to identify and amplify the voices of adolescent girls globally. the most progressive blueprint for advancing the rights of women and girls â€” the beijing declaration and platform for action â€” was adopted in 1995 during the world conference on women in beijing. on december 19, 2011, united nations general assembly declared october 11 as the international day of the girl child.  "
5,Mon Oct 11 07:20:41 +0000 2021,RT @ndtvfeed: India Never Had More Decisive Government: PM At Space Association Launch https://t.co/bJtAsCeZtj https://t.co/M8bOakoyFo,https://www.ndtv.com/india-news/india-never-had-more-decisive-government-prime-minister-narendra-modi-at-indian-space-association-launch-2571361,2,0,India Never Had More Decisive Government: PM Modi At Space Association Launch,"modi modi today launched indian space association (ispa), an industry body aspiring to be the voice of the country's space sector, and underlined his dispensation's commitment to reforms, saying the country never had a more decisive government. pm modi cited the government's success in privatising loss-making public airline air india to assert that this shows its commitment and seriousness. he said the government's policy about the public sector is that sectors where it is not needed should be opened to private enterprises. the modi referred to the opening of a host of sectors from space to defence to private players, and asserted that his government has kept national interest as well the needs of different stakeholders in mind. he said india is seeing reforms on such a wide scale because its vision is clear, which is about having an ""aatmanirbhar bharat"". pm modi said india is among the few countries which has end-to-end technology in the space sector. as a partner, the government is helping industry, young innovators, start-ups and will continue doing so, he added. he said his government's approach to reforms in the space sector is based on the four pillars; allowing the private sector freedom of innovation, government playing the enabler's role, preparing youngsters for the future and envisioning the sector as a resource to help the common man's development. the ispa will undertake policy advocacy and engage with all stakeholders in the indian space domain, including the government and its agencies, the government has said. echoing the modi vision of ""aatmanirbhar bharat"", the ispa will help in making india self-reliant, technologically advanced and a leading player in the space arena, it added. the ispa is represented by leading home grown and global corporations with advanced capabilities in space and satellite technologies. its founding members include larson & toubro, nelco (tata group), oneweb, bharti airtel, mapmyindia, walchandnagar industries and ananth technology limited.   other core members include godrej, hughes india, azista-bst aerospace private limited, bel, centum electronics and maxar india. (except for the headline, this story has not been edited by ndtv staff and is published from a syndicated feed.)"
6,Mon Oct 11 07:19:48 +0000 2021,RT @ndtvfeed: No Further Action In US Sexual Assault Case On Prince Andrew : Police https://t.co/PYzWKNgml8 https://t.co/UNWqqqgfnB,https://www.ndtv.com/world-news/prince-andrew-jeffrey-epstein-no-further-action-in-us-sexual-assault-case-on-prince-andrew-police-2571360,2,0,No Further Action In US Sexual Assault Case On Prince Andrew: Police,"british police said on monday they would be taking no further action after conducting a review of evidence relating to sex crime allegations against queen elizabeth's son, prince andrew, and the late u.s. financier jeffrey epstein. london's police chief, cressida dick, said in august that detectives would look at the allegations for a third time although they would not start an investigation, after virginia giuffre filed a u.s. lawsuit accusing the prince of sexual assault which he has always denied. she had said at the time that ""no one is above the law"". ""as a matter of procedure mps (metropolitan police service) officers reviewed a document released in august 2021 as part of a u.s. civil action,"" the police said in a statement on monday. ""this review has concluded and we are taking no further action."" in her civil lawsuit, giuffre, 38, has accused andrew of forcing her to have sex when she was underage at the london home of epstein's longtime associate ghislaine maxwell. she also said andrew, 61, abused her at epstein's mansion in manhattan, and on epstein's private island in the u.s. virgin islands. the british royal, the ninth in line to the throne, has always denied those allegations or having any relationship with giuffre. he was forced to step down from royal duties over his friendship with epstein, who committed suicide in a manhattan jail cell in 2019 while being held on sex-trafficking charges. the sunday times had reported this week that london police had spoken to giuffre regarding her allegations. ""the metropolitan police service continues to liaise with other law enforcement agencies who lead the investigation into matters related to jeffrey epstein,"" the police said in their statement.   last week, lawyers for andrew, the queen's second son, were given permission to examine a confidential 2009 agreement between epstein and giuffre which they hope will absolve him from all liability in the case. (this story has not been edited by ndtv staff and is auto-generated from a syndicated feed.)"
7,Mon Oct 11 07:19:43 +0000 2021,"India Never Had More Decisive Government: PM At Space Association Launch 

Read more: https://t.co/1RFhqObE7u https://t.co/akBUoPqTF1",https://ndtv.com/india-news/india-never-had-more-decisive-government-prime-minister-narendra-modi-at-indian-space-association-launch-2571361,7,27,India Never Had More Decisive Government: PM Modi At Space Association Launch,"modi modi today launched indian space association (ispa), an industry body aspiring to be the voice of the country's space sector, and underlined his dispensation's commitment to reforms, saying the country never had a more decisive government. pm modi cited the government's success in privatising loss-making public airline air india to assert that this shows its commitment and seriousness. he said the government's policy about the public sector is that sectors where it is not needed should be opened to private enterprises. the modi referred to the opening of a host of sectors from space to defence to private players, and asserted that his government has kept national interest as well the needs of different stakeholders in mind. he said india is seeing reforms on such a wide scale because its vision is clear, which is about having an ""aatmanirbhar bharat"". pm modi said india is among the few countries which has end-to-end technology in the space sector. as a partner, the government is helping industry, young innovators, start-ups and will continue doing so, he added. he said his government's approach to reforms in the space sector is based on the four pillars; allowing the private sector freedom of innovation, government playing the enabler's role, preparing youngsters for the future and envisioning the sector as a resource to help the common man's development. the ispa will undertake policy advocacy and engage with all stakeholders in the indian space domain, including the government and its agencies, the government has said. echoing the modi vision of ""aatmanirbhar bharat"", the ispa will help in making india self-reliant, technologically advanced and a leading player in the space arena, it added. the ispa is represented by leading home grown and global corporations with advanced capabilities in space and satellite technologies. its founding members include larson & toubro, nelco (tata group), oneweb, bharti airtel, mapmyindia, walchandnagar industries and ananth technology limited.   other core members include godrej, hughes india, azista-bst aerospace private limited, bel, centum electronics and maxar india. (except for the headline, this story has not been edited by ndtv staff and is published from a syndicated feed.)"
8,Mon Oct 11 07:08:48 +0000 2021,RT @ndtvfeed: Woman Gang-Raped In Mumbai-Bound Train: All 8 Accused Arrested https://t.co/hhwmU8W1Lc https://t.co/IZLAl9MxnA,https://www.ndtv.com/india-news/woman-gang-raped-in-mumbai-bound-train-all-8-accused-arrested-2571335,8,0,Woman Gang-Raped In Mumbai-Bound Train: All 8 Accused Arrested,"the government railway police have arrested all the eight accused involved in the case of rape of a 20-year-old woman on board the lucknow-mumbai pushpak express train between igatpuri and kasara railway stations in maharashtra, an official said on monday. the incident took place on friday night when the accused boarded the mumbai-bound train at igatpuri and allegedly committed the crime while the train was passing through the ghat section. the police had then arrested four persons in this connection. according to a police official, they have now arrested all the eight accused in the case. they have been identified as prakash alias pakya damu pardhi (20), arshad sheikh (19), arjun alias pavya subhash singh pardeshi (20), kishor nandu sonawane alias kaliya (25), kashinath ramchandra telam kashya (23), akash shenore alias akya (20), dhananjay bhagat alias guddu (19) and rahul aadole alias rahulya (22). according to a grp official, the accused consumed marijuana before entering the train. they had initially not planned to commit robbery in the train. but, after they entered the train, one of the accused tried to commit the offence by threatening a passenger with a knife, he said. the scared passenger gave him cash. seeing the robbery bid successful, the other accused also started threatening passengers with knives. they thought they would not be recognised in the dark, the official said. deputy commissioner of police, grp, manoj patil said, â€œwe have arrested all the eight accused in the case from ghoti area of igatpuri. four of the accused have some criminal record, while the remaining do not have any previous case against them."" during the investigation into the case, the police found that the accused robbed 16 passengers of their cash and also took away nine mobile phones. the accused sexually assaulted the 20-year-old woman, who got married recently and was coming to settle in mumbai. when the woman's husband tried to save her, he was also assaulted by the accused, the official said.   the police have registered offences against the accused under various indian penal code (ipc) sections, including 395 (dacoity) and 376(d) (gang rape), he added. (this story has not been edited by ndtv staff and is auto-generated from a syndicated feed.)"
9,Mon Oct 11 07:07:56 +0000 2021,"RT @ndtvfeed: ""Will Prove Allegations Wrong"": DMK MP, Wanted For Murder, Surrenders https://t.co/b6kp8VdROo https://t.co/M4NlViojdp",https://www.ndtv.com/tamil-nadu-news/dmk-mp-trvs-ramesh-wanted-for-murder-surrenders-says-will-prove-allegations-wrong-2571346,3,0,"""Will Prove Allegations Wrong"": DMK MP, Wanted For Murder, Surrenders","dmk mp trv s ramesh, who is accused in the murder case of a labourer, surrendered this morning at a court in tamil nadu's cuddalore district. the state police were on the lookout for the lawmaker for the alleged murder of a worker at his cashew unit. mr ramesh surrendered at a court in panruti in the cuddalore district of tamil nadu. in a statement, the dmk lawmaker said: ""i will prove allegations against me are baseless. i surrender to not give room for those who blame my leader's good governance. i am pained some parties slander against dmk"". the cb-cid wing of the tamil nadu police has been on the lookout for the dmk mp for the alleged murder of govindraj, who worked at his cashew processing unit last month. the 55-year-old worker was allegedly attacked at the unit by the lawmaker and others for reportedly stealing around eight kilogrammes of cashews. govindaraj was first brought to the police station by other workers in an injured condition on september 19. though the police instructed the workers to take him to a hospital, he was allegedly taken back to the cashew unit, where he was found dead later. during the weekend the police arrested five of his workers allegedly involved in the crime. govindaraj's son, in his complaint, called this a clear case of murder. the pmk, which is politically strong in this region, has demanded a cbi probe. they had also demanded immediate arrest of the ruling party mp. ""we have also filed a complaint of lapse and failure by local police. they shouldn't have entrusted the group to take him to the hospital. the police themselves ought to have done that,"" says mr k balu, an advocate and spokesperson of the pmk. the post-mortem was performed in puducherry. the report is yet to be handed over to the family.   the state dgp mr sylendra babu had transferred the case to cb-cid following a public outcry. this is the first high-profile criminal case involving a dmk lawmaker after the dmk government took over in may after a clear mandate."
