time,text,url
Fri Oct 08 01:03:11 +0000 2021,"Divert arms money for food, vaccines: Pope at peace meet with Angela Merkel https://t.co/aiUPgS0X7J",https://www.republicworld.com/world-news/europe/divert-arms-money-for-food-vaccines-pope-at-peace-meet-with-angela-merkel.html
Thu Oct 07 22:45:57 +0000 2021,"PM @NarendraModi's 20 Years In Government: 20 Landmark Initiatives Of Transformative Governance #Modi20Years
https://t.co/PWsNMWiPov",https://www.republicworld.com/india-news/politics/pm-modis-20-focus-areas-in-20-years-of-governance-fast-track-to-a-transformed-india.html
Thu Oct 07 20:44:49 +0000 2021,Adar Poonawalla hails UK's decision to scrap quarantine for vaccinated Indian travellers https://t.co/LsWSmLTf5k,https://www.republicworld.com/world-news/uk-news/adar-poonawalla-hails-uks-decision-to-scrap-quarantine-for-vaccinated-indian-travellers.html
Thu Oct 07 20:37:23 +0000 2021,"'Only 2 families protected in Kashmir, yet they can't call a spade a spade': Junaid Mattu https://t.co/qTKuP6pW7M",https://www.republicworld.com/india-news/general-news/only-2-families-protected-in-kashmir-yet-they-cant-call-a-spade-a-spade-junaid-mattu.html
Thu Oct 07 20:27:14 +0000 2021,Africa's Health officials hail new malaria vaccine Mosquirix as 'dramatic game-changer' https://t.co/D0AS8qFkaj,https://www.republicworld.com/world-news/africa/africas-health-officials-hail-new-malaria-vaccine-mosquirix-as-dramatic-game-changer.html
Thu Oct 07 19:37:04 +0000 2021,"PM Modi's gifts' E-auction: Neeraj Chopra's Javelin, Sardar Patel sculpture get top bids https://t.co/ghzIvvQLq7",https://www.republicworld.com/sports-news/other-sports/pm-modis-gifts-e-auction-neeraj-chopras-javelin-sardar-patel-sculpture-get-top-bids.html
Thu Oct 07 19:32:04 +0000 2021,Seattle Seahawks vs Los Angeles Rams NFL live streaming details and Dream 11 predictions https://t.co/pOUoSC8Svr,https://www.republicworld.com/sports-news/other-sports/seattle-seahawks-vs-los-angeles-rams-nfl-live-streaming-details-and-dream-11-predictions.html
Thu Oct 07 19:07:52 +0000 2021,"'Not attended single NEC in 5 years': Varun Gandhi, as BJP sidelines MP from National Council https://t.co/VL7sNPpYe3",https://www.republicworld.com/india-news/politics/not-attended-single-nec-in-5yrs-varun-gandhi-as-bjp-sidelines-mp-from-national-council.html
Thu Oct 07 18:43:55 +0000 2021,Maharashtra govt launches 'Mission Kawach Kundal' to vaccinate 15 lakh people per day https://t.co/eORChFzNga,https://www.republicworld.com/india-news/general-news/maharashtra-govt-launches-mission-kawach-kundal-to-vaccinate-15-lakh-people-per-day.html
Thu Oct 07 18:12:52 +0000 2021,Luis Suarez attacks Barcelona boss again; states phone call ending his stint lasted 40s https://t.co/K3b6w5SKcu,https://www.republicworld.com/sports-news/football-news/luis-suarez-attacks-barcelona-boss-again-states-phone-call-ending-his-stint-lasted-40s.html
