time,text,url,retweet_count,favorite_count
Mon Oct 11 07:42:07 +0000 2021,"Why did Kerala have a backlog of 7,000 COVID-19 deaths? NTAGI chairman NK Arora explains https://t.co/Sh1fnwavDs",https://www.republicworld.com/india-news/general-news/why-did-kerala-have-a-backlog-of-7000-covid-19-deaths-ntagi-chairman-nk-arora-explains.html,3,6
Mon Oct 11 07:37:26 +0000 2021,Kerala artist creates 24-foot-long Theyyam's face using bakery products  https://t.co/EwGTx6EonA,https://www.republicworld.com/india-news/city-news/kerala-artist-creates-24-foot-long-theyyams-face-using-bakery-products.html,2,14
Mon Oct 11 07:33:29 +0000 2021,Iraq says it has arrested top leader in Islamic State group https://t.co/FhT69OyAct,https://www.republicworld.com/world-news/middle-east/iraq-says-it-has-arrested-top-leader-in-islamic-state-group.html,2,18
Mon Oct 11 07:29:26 +0000 2021,"PM Modi launches Indian Space Association, highlights four pillars to Space Reforms https://t.co/YyU22YaQwu",https://www.republicworld.com/india-news/general-news/pm-modi-launches-indian-space-association-highlights-four-pillars-to-space-reforms.html,4,27
Mon Oct 11 07:25:42 +0000 2021,"#BREAKING | J&amp;K: Encounter between Indian Army and Pakistan terrorists takes place in Poonch, report claims 5 jawan… https://t.co/FizSwVQsZf",https://twitter.com/i/web/status/1447463401639145475,27,70
Mon Oct 11 07:24:18 +0000 2021,"NEET Phase 2 registration 2021 to end today, here is all you need to know https://t.co/sUZHsrKMfQ",https://www.republicworld.com/india-news/education/neet-phase-2-registration-2021-to-end-today-here-is-all-you-need-to-know.html,1,5
Mon Oct 11 07:17:44 +0000 2021,India never had more decisive government: PM Modi https://t.co/jv7bIdTCaV,https://www.republicworld.com/india-news/general-news/india-never-had-more-decisive-government-pm-modi.html,7,71
Mon Oct 11 07:14:31 +0000 2021,"US, UK issue advisory; warn citizens to avoid Kabul hotel over 'security threats' https://t.co/DiBaMrIoOQ",https://www.republicworld.com/world-news/rest-of-the-world-news/us-uk-issue-advisory-warn-citizens-to-avoid-kabul-hotel-over-security-threats.html,2,11
Mon Oct 11 07:14:01 +0000 2021,Dubai police nabs Israeli man allegedly smuggling 500 kg pure cocaine worth $136 million https://t.co/bQsebQ4LXz,https://www.republicworld.com/world-news/middle-east/dubai-police-nabs-israeli-man-allegedly-smuggling-500-kg-pure-cocaine-worth-136-dollars-million.html,10,41
Mon Oct 11 07:10:08 +0000 2021,#IPL2021: Will it be MS Dhoni's CSK vs Virat Kohli's RCB in final? Fans can't keep calm https://t.co/hkSzuEWAkr,https://www.republicworld.com/sports-news/cricket-news/ipl-2021-will-it-be-ms-dhonis-csk-vs-virat-kohlis-rcb-in-final-fans-cant-keep-calm.html,2,29
Mon Oct 11 07:09:51 +0000 2021,CBI raids Anil Deshmukh's premises in Nagpur; likely to summon ex-Maharashtra Home Min https://t.co/sOSP0BZdBv,https://www.republicworld.com/india-news/general-news/cbi-raids-anil-deshmukhs-premises-in-nagpur-likely-to-summon-ex-maharashtra-home-min.html,11,74
Mon Oct 11 07:06:50 +0000 2021,Uttarakhand minister Yashpal Arya &amp; his MLA son join Congress in Rahul Gandhi’s presence https://t.co/GjuQXl61GP,https://www.republicworld.com/india-news/politics/uttarakhand-minister-yashpal-arya-and-mla-son-join-congress-in-rahul-gandhis-presence.html,1,11
Mon Oct 11 07:02:00 +0000 2021,"Karnataka SSLC supplementary result 2021 likely to be out today, check details here https://t.co/PrOHRnRhOr",https://www.republicworld.com/india-news/education/karnataka-sslc-supplementary-result-2021-likely-to-be-out-today-check-details-here.html,1,11
Mon Oct 11 07:00:27 +0000 2021,J&amp;K: NIA team prepares strategy to crackdown terror activities post civilian killings https://t.co/n4mi1d2TAN,https://www.republicworld.com/india-news/law-and-order/j-and-k-nia-team-prepares-strategy-to-crackdown-terror-activities-post-civilian-killings.html,4,27
Mon Oct 11 06:52:26 +0000 2021,Delhi minister Satyendar Jain claims NTPC cut supply to 50% at all plants  https://t.co/6JpgccYnjD,https://www.republicworld.com/india-news/general-news/delhi-minister-satyendar-jain-claims-ntpc-cut-supply-to-50-percent-at-all-plants.html,0,15
