,time,text,url,retweet_count,favorite_count,title,content
0,Mon Oct 11 07:42:07 +0000 2021,"Why did Kerala have a backlog of 7,000 COVID-19 deaths? NTAGI chairman NK Arora explains https://t.co/Sh1fnwavDs",https://www.republicworld.com/india-news/general-news/why-did-kerala-have-a-backlog-of-7000-covid-19-deaths-ntagi-chairman-nk-arora-explains.html,3.0,6.0,"Why Did Kerala Have A Backlog Of 7,000 COVID-19 deaths? NTAGI Chairman NK Arora Explains","In a recent update to the COVID-19 situation in Kerala, the CPM-led Kerala government on Saturday, October 9, admitted on the floor of the state assembly of underreporting over 7,000 virus-related deaths in the total tally. The Chairperson of the National Immunisation Technical Advisory Group (NTAGI), Dr NK Arora, highlighting the reason for 'under-reporting' of COVID deaths, explains the process of uploading the data to the national portal.   He said that Kerala is not the only state where the backlog of deaths was reported but there are many states that have been late in updating the information. According to National Centre for Disease Control (NCDC), there is great difficulty in getting accurate information on hospitalisation which is very important as it helps to understand the health system leads. However, most of the states have incomplete data concerned with hospitalisation. He further urged NCDC to work with the state to resolve the issue.  Further applauding the Kerala government's efforts in management of COVID-19 pandemic during 2020, Dr NK Arora said, ""The state had controlled the Coronavirus infections very well last year while a surge in the cases was reported from past 2-3 months"".  He said that COVID cases will decline in Kerala as it has a good history with vaccine administration and vaccinated people will be less prone to infections.  The CPM-led Kerala government on Saturday, October 9, admitted on the floor of the state assembly of underreporting over 7,000 virus-related deaths in the total tally. Kerala Health Minister Veena George informed the Assembly that of the total COVID death tally over 7,000 deaths were found to be not included. She claimed that the misinformation of the data was observed due to technical lapses like missing out on patients' details and wasn't an intentional act of the government to exclude deaths from the list. In the last assembly session, George affirmed that the department would publish the updated list in three days. To date, Kerala has reported a total of 47.8 COVID-19 cases with 26,173 deaths. As of October 11, out of 18,132 new COVID-19 cases and 193 deaths reported in India, Kerala recorded 10,691 cases and 85 deaths. The state has administered a total of 3,66,56,548 COVID vaccine doses across 1,273 vaccination sites. (Image: ANI/PTI/REPRESENTATIVEIMAGE)"
1,Mon Oct 11 07:37:26 +0000 2021,Kerala artist creates 24-foot-long Theyyam's face using bakery products  https://t.co/EwGTx6EonA,https://www.republicworld.com/india-news/city-news/kerala-artist-creates-24-foot-long-theyyams-face-using-bakery-products.html,2.0,14.0,Kerala Artist Creates 24-foot-long Theyyam's Face Using Bakery Products,"A Kerala-based artist created an installation using biscuits and other bakery products to reflect Kerala's ceremonial art genre Theyyam. Suresh, also known as 'DaVinci,' spent nearly 15 hours creating the massive 24-foot long art installation. The art installation was created in the hall of a Kannur bakery using numerous tables arranged in the centre of the room. The face of Theyyam was created using up to 25,000 biscuits of various colours and sizes, as well as other bakery products. Suresh was invited to make the art piece in Chef Muhammad Rashid's bakery, 'Bake Story.' ""We have invited DaVinci Suresh, who made the artwork of North Malabar's traditional art form Theyyam using bakery items. Bake Story bakery from Kannur also became part of DaVinci Suresh's 100 medium plan,"" remarked the chef. After that, all of the bakery products were given to a veterinary farm to biodegrade. Similarly, on Thursday, October 7, the Odisha Lalit Kala Akademi, in collaboration with the Koraput district administration, held a competition on Jhoti art in the Padampur hamlet of the district, in order to revive the traditional art form of 'Jhoti' and encourage women to pursue this folk art. Folk art and the customary practice of making murals or Rangoli at the front entry of a home during social occasions and religious holidays is known as 'Alpona.' Jhoti, on the other hand, is not the same as rangoli. While rangolis use coloured powders to make line art, jhoti art uses traditional white, semi-liquid rice or pithau paste to create line art. In this style of art, the fingers are used as a paintbrush."
2,Mon Oct 11 07:33:29 +0000 2021,Iraq says it has arrested top leader in Islamic State group https://t.co/FhT69OyAct,https://www.republicworld.com/world-news/middle-east/iraq-says-it-has-arrested-top-leader-in-islamic-state-group.html,2.0,18.0,Iraq Says It Has Arrested Top Leader In Islamic State Group,
3,Mon Oct 11 07:29:26 +0000 2021,"PM Modi launches Indian Space Association, highlights four pillars to Space Reforms https://t.co/YyU22YaQwu",https://www.republicworld.com/india-news/general-news/pm-modi-launches-indian-space-association-highlights-four-pillars-to-space-reforms.html,4.0,27.0,"'Govt as an enabler..': PM Modi Launches Indian Space Association, Highlights Four Pillars To Space Reforms","Prime Minister Narendra Modi on Monday launched Indian Space Sector 'Indian Space Association (ISpA)' and in his address, he asserted, 'there has never been such a decisive government in India as it is today'. The Prime Minister talked about the nation's space sector and added that his Government has given a new mantra which is cooperation between Government and startups 'because this is not the time of linear innovation for India'. (ISpA) is an industry body aspiring to be the voice of the Indian Space sector. The virtual event was marked by the presence of prominent Indian Space sector officials including Kailasavadivoo Sivan. PM Modi says the Government approach is based on pillars which includes freedom, and progress for the Space sector.  Launching an attack on the previous Government, the Prime Minister added that 'earlier Space sector was synonymous with Govt' but now the current Government has changed it.  Clarifying the Government's intentions behind the space sector, PM Modi added that it has 'a clear policy regarding public sector enterprises and is opening most of these sectors to private enterprises where the government is not required'. He also cited the example of Air India while acknowledging that the decision taken showed the Centre's commitment and seriousness. In his concluding remarks, the PM urged that in the 21st century, India should ensure that space plays an important role in uniting the world, and connecting the world. The ISpA is expected to interact with all stakeholders in the Indian space sector, including the government and its agencies, in policy advocacy. Further, the government has also placed the responsibility of making India a prominent contributor to the world of space and technology on the new organisation. As per the government, the ISpA will help India to become self-reliant and technologically advanced, and a prominent player in the space arena. The launch of the ISpA is in tandem with Prime Minister Narendra Modi's goal of 'Aatmanirbhar Bharat.'"
4,Mon Oct 11 07:25:42 +0000 2021,"#BREAKING | J&amp;K: Encounter between Indian Army and Pakistan terrorists takes place in Poonch, report claims 5 jawan… https://t.co/FizSwVQsZf",https://twitter.com/i/web/status/1447463401639145475,27.0,70.0,,
5,Mon Oct 11 07:24:18 +0000 2021,"NEET Phase 2 registration 2021 to end today, here is all you need to know https://t.co/sUZHsrKMfQ",https://www.republicworld.com/india-news/education/neet-phase-2-registration-2021-to-end-today-here-is-all-you-need-to-know.html,1.0,5.0,"NEET Phase 2 Registration 2021 To End Today, Here Is All You Need To Know","NEET Phase 2 registration: National Testing Agency will end the ongoing National Eligibility cum Entrance Test (NEET) phase 2 registration process on Monday. Candidates who are interested and want to register for the same should make sure to complete the process by 11:50 pm. The National Testing Agency (NTA) conducted the NEET registration into two phases, first phase of the NEET application had to be filled before exam, and NEET phase 2 application had to be filled before the declaration of NEET 2021 result.  The NTA will also release the NEET 2021 provisional answer key anytime soon. Candidates who took the exam will be allowed to challenge the answer key by raising objections within a set date. The NEET 2021 final answer key will be prepared on the basis of objections raised by candidates. The NEET 2021 result will further be based upon the final answer key. Along with the release of the provisional answer key, candidates' responses and question papers will also be uploaded on the official website. Candidates should make sure to apply for NTA NEET 2021 phase 2 by Monday (11:50 pm). Students will have to visit the official website of NTA NEET to fill in the form. NTA has clearly informed that it will be cancelling the candidature of those candidates who fail to fill the application form for both phases of NEET 2021."
6,Mon Oct 11 07:17:44 +0000 2021,India never had more decisive government: PM Modi https://t.co/jv7bIdTCaV,https://www.republicworld.com/india-news/general-news/india-never-had-more-decisive-government-pm-modi.html,7.0,71.0,India Never Had More Decisive Government: PM Modi,
7,Mon Oct 11 07:14:31 +0000 2021,"US, UK issue advisory; warn citizens to avoid Kabul hotel over 'security threats' https://t.co/DiBaMrIoOQ",https://www.republicworld.com/world-news/rest-of-the-world-news/us-uk-issue-advisory-warn-citizens-to-avoid-kabul-hotel-over-security-threats.html,2.0,11.0,"'Leave immediately' | US, UK Issue Advisory; Warn Citizens To Avoid Kabul Hotel Over 'security Threats'","The United States and Britain on Monday, 11 October, asked their citizens to avoid travelling to the Serena Hotel in Kabul and its vicinity because of “security threats”. The Serena Hotel is a well-known luxury hotel in Kabul and it has been popular with foreign visitors. However, after the Taliban took over Afghanistan in August, it has been the target of extremists attacks on two occasions.  In an update to its advice not to travel to Afghanistan, the UK Foreign Office also said: ""In light of the increased risks you are advised not to stay in hotels, particularly in Kabul (such as the Serena Hotel)."" The security alert comes after the Islamic States group claimed a devastating bomb attack in the northern city of Kunduz on Friday. As reported by AP, a major explosion at a Shia mosque in Afghanistan's northern Kunduz province claimed the lives of at least 100 people, while several others were injured. The report further stated that the deadly explosion was followed by a separate blast through a Shia mosque during Friday prayers in the same province. Kunduz provincial spokesperson Matiullah Rohani told a US media outlet that a suicide attacker was responsible for the explosion at the Sayed Abad mosque. If the death toll is said to be true, it will be considered as the deadliest attack since the US and NATO troops left Afghanistan at the end of August and the Taliban took control of the country. It is pertinent to mention here that on Wednesday, an explosion in Afghanistan’s Khost city killed seven people and wounded 15 others. This incident took place at Mazharul Alum Madrasa, also known as Mazharul Alum religious school."
8,Mon Oct 11 07:14:01 +0000 2021,Dubai police nabs Israeli man allegedly smuggling 500 kg pure cocaine worth $136 million https://t.co/bQsebQ4LXz,https://www.republicworld.com/world-news/middle-east/dubai-police-nabs-israeli-man-allegedly-smuggling-500-kg-pure-cocaine-worth-136-dollars-million.html,10.0,41.0,Dubai Police Nabs Israeli Man Allegedly Smuggling 500 Kg Pure Cocaine Worth $136 Million,"In the ""region's largest"" drug bust, Dubai anti-narcotics team seized contraband of 500kg pure cocaine from a cargo container. The trafficking scheme indicated the involvement of an Israeli man, who was 'caught red-handed' last week. Halil Dasuki was allegedly involved in the smuggling that attempted to pass half a ton of pure cocaine through Dubai. As per Dubai Police's announcement on Sunday through a Facebook post, Dasuki was arrested during Operation Scorpion for suspected involvement in the ""region's biggest drug bust."" The resident of Lod was allegedly involved in drug smuggling pure cocaine worth $136,000,000. ""We received a security tip on an international drug syndicate attempting to smuggle a huge amount of pure cocaine hidden in a cargo container into a seaport with the assistance of a middle Eastern accomplice in the Emirati,"" Director of Anti-Narcotics Department, Dubai Police, Brigadier Eid Mohammed Thani Hareb said. He also added that the suspects had planned to move the drugs from Dubai to another Emirati state and store them in a warehouse. Adding details about the targeted operation, Bg. Hareb revealed, ""An investigating team was immediately formed to verify and respond to the security tip"" they monitored the suspect's movements until he received the expected narcotics shipment."" ""Once the shipment arrived, the suspect transported the illegal drugs to another emirate and stored them in a warehouse with the aim of selling and promoting the harmful toxins,"" he added. Dasuki was nabbed ""red-handed"" and Dubai Police seized the narcotics, Deputy Director of General Department of Narcotics Col. Khalid bin Muwaiza. He also explained that the suspect arrived at the warehouse in an SUV and was equipped with cutting tools and angle grinders that are generally used to unload containers. Meanwhile, Dasuki has been held by Dubai Police in their drug detention facility and is due for a hearing, the defendant's lawyer Uri Ben-Natan told KAN News. ""He could go for an extended detention under suspicion of drug trafficking in large quantities,"" he said."
9,Mon Oct 11 07:10:08 +0000 2021,#IPL2021: Will it be MS Dhoni's CSK vs Virat Kohli's RCB in final? Fans can't keep calm https://t.co/hkSzuEWAkr,https://www.republicworld.com/sports-news/cricket-news/ipl-2021-will-it-be-ms-dhonis-csk-vs-virat-kohlis-rcb-in-final-fans-cant-keep-calm.html,2.0,29.0,IPL 2021: Will It Be MS Dhoni's CSK Vs Virat Kohli's RCB In Final? Fans Can't Keep Calm,"Chennai Super Kings (CSK) defeated Delhi Capitals (DC) in Qualifier 1 of Indian Premier League (IPL) 2021 on October 10 and became the first team to reach the final of the tournament. Royal Challengers Bangalore (RCB) are all set to lock horns with Kolkata Knight Riders on Monday, in the Eliminator of the IPL 2021 at the Sharjah Cricket Stadium. Meanwhile, CSK skipper MS Dhoni took the entire cricketing world by storm on Sunday night by hitting a classic MSD knock of 18 runs off six balls, to win the match for CSK. He reminded everyone of the experience possessed by him while batting at the final moments of a match. MS Dhoni walked out bat in the second ball of the 18th over and hit one six and three fours at a strike rate of 300. CSK was chasing a target of 173 runs set by DC in the first innings and cruised to victory, courtesy of half-centuries by Ruturaj Gaikwad and Robin Uthappa, along with Dhoni's quickfire 18 runs. On watching CSK reach their 9th IPL finals in 12 seasons of the IPL, many cricketing legends, as well as cricket fans, predicted that Virat Kohli-led RCB will win the Eliminator 1 on Monday, reach Qualifier 2. The speculations further pointed that RCB will win Qualifier 2 to fix their place against CSK in the IPL final. Fans were elated upon the thought of watching two of the Indian cricketing legends appearing in the finals and took to Twitter to express their thoughts. A fan said that if we see CSK vs RCB in the IPL 2021 final, everyone will witness more of the emotional and feel-good moments. Another fan expressed his thoughts by saying that he doesn't know how CSK performs so consistently in all the seasons and also added that fans are now expecting CSK vs RCB in the final. RCB skipper Virat Kohli on witnessing Dhoni, finish off the match in style again, tweeted saying that the King is back. He hailed MSD for being the greatest finisher in the game and added MSD made him jump out of his seat. Many fans replied to Kohli’s tweet by saying that they wish to see the two best captains of Indian cricket in the IPL final.  Another user mentioned in his tweet, CSK vs RCB in the IPL final will be the greatest thing to happen, citing Kohli is going to hang his boots as the captain of RCB after this season. Whereas, Dhoni is also likely to play his last match as a player for CSK in the final."
